Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3855    94062     1130    77755        0    92646        2  110567K   952736 27356205 28577053  4280327       56852    116095  1088406   213113 36816286 41856300  7018044    79534  2465887  2848586 
    4550    81087     1392    79162        0   103597        0     5123        0     1361     1967      441       57270    104371  1089230   212938     2284     3158      188        1      144        0 
    4865    93596     1531    76530        0    93175       34     3724       83     1827      551        5       57207    114450  1090059   212946     1092     1973      126        0       79        0 
    5363    77049     2066    75114        0   108608        1     8150      117     2981     8735      101       58256     95973  1093073   214347     2763     5941      744        2      208        0 
    4447    76294     2109    73194        0   110677        0     3535        0     1323     9461      449       58051     93546  1093471   215905     7305     7725       27        0      112        0 
    7667    73305     2127    69937        0   110552       28    15126      232     2623    11351      344       57197     88172  1099199   219008     7883    14248      843        3      270       32 
    4291    75774     5596    69527        0   108533        0    28058       75     4633     9617      604       62192     88705  1104344   218923     8529    13770     5973        0      431     2319 
    4143    74317     5778    67569        0   108460        4    18050      148     5675     3185       88       61754     85910  1109059   222336     3690     8449     4549       81      909        0 
    4469    72434     6486    65401        0   109254        0    18345      498     6254     7191      398       65634     78687  1119564   224453     3133    13666     8056        2      304     1822 
    3537    73852     5044    67611        0   108875        0    16015      152     3724    13246      555       75947     70560  1129754   223701     3083    13312    18808       18      224     3354 
    4166    74170     6206    67078        0   108937        0    39230      112     7014     6119        0       75369     72085  1129831   222161     3264     3352     1293        1      169     1600 
    3629    72137    10075    62205        0   118958      100    40689        5     5687    11847      389       66893     77524  1115190   215701    27474    14990     5423       11      399     3612 
    3691   104145     6531    67320        0    85963       19    13124      664     4745      424      892       63352    114644  1114145   214966     1466      532      246        8      128        0 
    4391    89791     6587    82569        0    84177        0     4828        0      747     1059      857       63448    115499  1112062   215129     2664     2988       63        0      256        0 
    4272    87771     6851    80243        0    87277        0     4828        0     2650     4313      433       63792    111073  1114876   216218     1911     4857      235        0      176        0 
