Processes: 407 total, 2 running, 1 stuck, 404 sleeping, 2456 threads 
2021/10/12 23:10:17
Load Avg: 2.18, 2.36, 2.43 
CPU usage: 6.49% user, 18.83% sys, 74.67% idle 
SharedLibs: 179M resident, 34M data, 7968K linkedit.
MemRegions: 173935 total, 1375M resident, 93M private, 991M shared.
PhysMem: 7472M used (1639M wired), 69M unused.
VM: 142T vsize, 3272M framework vsize, 2493065(0) swapins, 2877040(0) swapouts.
Networks: packets: 3112051/3026M in, 2024636/279M out.
Disks: 4352116/147G read, 975924/54G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG CMPRS PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
8027  top              0.0  00:00.20 1/1   0   15     3729K 0B   0B    8027 8006 running  *0[1]       0.00000 0.00000    0   817      61    383622   190379   1823     194117   37        11      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
8025  ex2              0.0  00:00.03 1     0   10     111M  0B   0B    8025 8006 sleeping *0[1]       0.00000 0.00000    501 7233     52    47       23       149      72       24        0       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
8006  zsh              0.0  00:00.04 1     0   21     2177K 0B   288K  8006 8005 sleeping *0[1]       0.00000 0.00000    501 905      442   97       38       4470     224      188       7       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
8005  login            0.0  00:00.01 2     1   31     2273K 0B   1472K 8005 7208 sleeping *0[9]       0.00000 0.00000    0   722      121   126      31       1882     247      92        24      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7996  mdworker_shared  0.0  00:00.13 4     1   49     2786K 0B   704K  7996 1    sleeping *0[1]       0.00000 0.00000    501 2512     81    696      292      2223     702      275       0       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7995  mdworker_shared  0.0  00:00.11 4     1   54     3186K 0B   1152K 7995 1    sleeping *0[1]       0.00000 0.00000    501 1855     85    749      307      1645     821      244       0       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7994  mdworker_shared  0.0  00:00.11 4     1   54     3329K 0B   1104K 7994 1    sleeping *0[1]       0.00000 0.00000    501 2714     85    621      255      1956     661      258       4       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7993  mdworker_shared  0.0  00:00.07 4     1   50     2817K 0B   1344K 7993 1    sleeping *0[1]       0.00000 0.00000    501 1483     81    701      306      1213     652      195       3       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7992  mdworker_shared  0.0  00:00.11 4     1   48     2769K 0B   992K  7992 1    sleeping *0[1]       0.00000 0.00000    501 2036     81    684      300      1475     614      278       2       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7966  mdworker_shared  0.0  00:00.09 4     1   50     2785K 0B   2464K 7966 1    sleeping *0[1]       0.00000 0.00000    501 2060     81    612      264      1477     577      166       32      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7955  mdworker_shared  0.0  00:00.16 4     1   49     2706K 0B   976K  7955 1    sleeping *0[1]       0.00000 0.00000    501 2743     81    835      333      2990     974      309       8       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7946  FinderSync       0.0  00:00.51 5     1   187    39M   0B   155M  7946 1    sleeping *0[10]      0.00000 0.00000    501 35931    369   3007     1172     10260    6758     3621      3199    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7945  QuickLookUIServi 0.0  00:00.03 3     1   137    5602K 0B   3552K 7945 1    sleeping  0[11]      0.00000 0.00000    501 1681     120   772      182      1606     1643     567       31      1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7944  com.apple.appkit 0.0  00:00.95 3     1   212    25M   0B   22M   7944 1    sleeping  0[57]      0.00000 0.00000    501 14004    206   17316    6534     73347    16152    9407      868     2     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7942  dprivacyd        0.0  00:00.07 3     2   29     3473K 0B   3136K 7942 1    sleeping *0[1]       0.00000 0.00000    0   1006     78    172      62       2193     549      335       30      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7941  TextEdit         0.0  00:01.34 3     1   263    35M   0B   16M   7941 1    sleeping *0[7]       0.00000 0.00000    501 17046    195   22716    3157     23838    41501    13988     1438    11    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7899  ContactsAccounts 0.0  00:00.06 2     1   45     4593K 0B   4224K 7899 1    sleeping *0[11]      0.00000 0.00000    501 1283     97    290      80       1820     637      563       79      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7898  WorldClockWidget 0.0  00:00.54 5     4/1 90     17M   0B   16M   7898 1    sleeping *3[6]       0.00000 0.00000    501 4676     604   1959     728      7541     1770     2028      1905    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7897  WeatherWidget    0.0  00:00.43 8     6/3 116    22M   0B   21M   7897 1    sleeping *3[6]       0.00000 0.00000    501 5345     632   2202     788      8473     2291     2367      1514    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7896  CalendarWidgetEx 0.0  00:01.06 9     8/1 121    18M   0B   17M   7896 1    sleeping *3[6]       0.00000 0.00000    501 4164     257   972      177      17121    3764     3232      1285    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7895  amsengagementd   0.0  00:00.11 2     1   58     3777K 0B   2576K 7895 1    sleeping *0[1]       0.00000 0.00000    501 1706     118   222      49       1458     509      770       281     1     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7894  remindd          0.0  00:00.86 2     1   93     10M   0B   10M   7894 1    sleeping *0[2]       0.00000 0.00000    501 4632     192   592      146      15589    3768     3722      1090    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7890  trustd           0.0  00:00.26 2     1   37     4097K 0B   3648K 7890 1    sleeping *0[34]      0.00000 0.00000    89  998      73    375      90       3254     885      604       119     1     0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
